,address,location,latitude,longtitude,type
0,제주특별자치도 제주시 한림읍 귀덕리 1195-1(대),리사무소 입구,33.444151,126.294594,clean
1,제주특별자치도 제주시 한림읍 귀덕리 2453-3(대),신서동 집하장 앞,33.432083,126.288722,clean
2,제주특별자치도 제주시 한림읍 귀덕리 4174(도),사동 매역동산,33.431374,126.288467,clean
3,제주특별자치도 제주시 한림읍 귀덕리 1645-3(도),성로삼거리,33.435567,126.296171,clean
4,제주특별자치도 제주시 한림읍 귀덕리 1676-3,성로동 서쪽 끝,33.435638,126.293985,clean
5,제주특별자치도 제주시 한림읍 귀덕리 3011-3(도),어촌계횟집 맞은편도로,33.444056,126.290369,clean
6,제주특별자치도 제주시 한림읍 귀덕리 1008-1(대),주영(구 농협창고)맞은편 대도로변,33.446262,126.294407,clean
7,제주특별자치도 제주시 한림읍 귀덕리 976-8,동축항 입구,33.447527,126.294214,clean
8,제주특별자치도 제주시 한림읍 귀덕리 710-4(도) 귀덕로 62,정석 아래 폭낭 맞은편,33.440694,126.297277,clean
9,제주특별자치도 제주시 한림읍 귀덕리 1893-1(도),신서동 동동네 삼거리 부근,33.429645,126.292527,clean
10,제주특별자치도 제주시 한림읍 귀덕리 1091,해성아파트 입구,33.442615,126.291973,clean
11,제주특별자치도 제주시 한림읍 귀덕리 1311-3,중동회관 남쪽,33.439414,126.295653,clean
12,제주특별자치도 제주시 한림읍 귀덕리 431,우주전파센터,33.431458,126.296394,clean
13,"제주특별자치도 제주시 한림읍 귀덕리 4070(대),4174(도)",리사무소 옆,33.443278,126.279153,clean
14,제주특별자치도 제주시 한림읍 귀덕리 3882,켄싱턴리조트  해안도로변,33.439393,126.274805,clean
15,제주특별자치도 제주시 한림읍 귀덕리 4166,올레코지 게스트하우스,33.442811,126.277174,clean
16,제주특별자치도 제주시 한림읍 귀덕리 3118,초록마을,33.444172,126.281588,clean
17,제주특별자치도 제주시 한림읍 귀덕리 3127-2(잡),귀덕2리 해안도로변,33.444281,126.283397,clean
