,address,location,latitude,longtitude
0,제주특별자치도 제주시 한림읍 귀덕리 1195-1(대),리사무소 입구,33.444151,126.294594
1,제주특별자치도 제주시 한림읍 귀덕리 2453-3(대),신서동 집하장 앞,33.432083,126.288722
2,제주특별자치도 제주시 한림읍 귀덕리 4174(도),사동 매역동산,33.431374,126.288467
3,제주특별자치도 제주시 한림읍 귀덕리 1645-3(도),성로삼거리,33.435567,126.296171
4,제주특별자치도 제주시 한림읍 귀덕리 1676-3,성로동 서쪽 끝,33.435638,126.293985
5,제주특별자치도 제주시 한림읍 귀덕리 3011-3(도),어촌계횟집 맞은편도로,33.444056,126.290369
6,제주특별자치도 제주시 한림읍 귀덕리 1008-1(대),주영(구 농협창고)맞은편 대도로변,33.446262,126.294407
7,제주특별자치도 제주시 한림읍 귀덕리 976-8,동축항 입구,33.447527,126.294214
8,제주특별자치도 제주시 한림읍 귀덕리 710-4(도) 귀덕로 62,정석 아래 폭낭 맞은편,33.440694,126.297277
9,제주특별자치도 제주시 한림읍 귀덕리 1893-1(도),신서동 동동네 삼거리 부근,33.429645,126.292527
10,제주특별자치도 제주시 한림읍 귀덕리 1091,해성아파트 입구,33.442615,126.291973
11,제주특별자치도 제주시 한림읍 귀덕리 1311-3,중동회관 남쪽,33.439414,126.295653
12,제주특별자치도 제주시 한림읍 귀덕리 431,우주전파센터,33.431458,126.296394
13,"제주특별자치도 제주시 한림읍 귀덕리 4070(대),4174(도)",리사무소 옆,33.443278,126.279153
14,제주특별자치도 제주시 한림읍 귀덕리 3882,켄싱턴리조트  해안도로변,33.439393,126.274805
15,제주특별자치도 제주시 한림읍 귀덕리 4166,올레코지 게스트하우스,33.442811,126.277174
16,제주특별자치도 제주시 한림읍 귀덕리 3118,초록마을,33.444172,126.281588
17,제주특별자치도 제주시 한림읍 귀덕리 3127-2(잡),귀덕2리 해안도로변,33.444281,126.283397
18,제주특별자치도 제주시 한림읍 귀덕리 3238,레몬하우스(자체설치),33.439389,126.285304
19,제주특별자치도 제주시 한림읍 귀덕리 228-3(전),천호제일사료 주차장,33.423142,126.298315
20,제주특별자치도 제주시 한림읍 귀덕리 2074(대),리사무소앞 광장,33.421235,126.29637
21,제주특별자치도 제주시 한림읍 귀덕리 2193-1,농협창고 옆,33.418889,126.296624
22,제주특별자치도 제주시 한림읍 귀덕리2255-6,대림~귀덕3리 입구,33.420124,126.291406
23,제주특별자치도 제주시 한림읍 수원리 960-6(도),한림빌라 맞은편 동쪽,33.429861,126.263775
24,제주특별자치도 제주시 한림읍 수원리 790-1(대),"대동, 대제빌라 내부",33.426889,126.264152
25,제주특별자치도 제주시 한림읍 수원리 230-4 뒤편,어촌계회관 뒤편,33.437705,126.271989
26,제주특별자치도 제주시 한림읍 수원리 644-6,대산빌라 인근 하우스옆도로,33.430195,126.266094
27,제주특별자치도 제주시 한림읍 수원리 277-16,리사무소 옆,33.429608,126.270897
28,제주특별자치도 제주시 한림읍 수원리 713-8,취락구조 삼거리 퐁낭 앞,33.428013,126.267653
29,제주특별자치도 제주시 한림읍 대림리 1591,수원초등학교 후문,33.425662,126.27048
30,제주특별자치도 제주시 한림읍 한수리 885-1(대),노인회관 내부,33.423055,126.263609
31,"제주특별자치도 제주시 한림읍 한수리 832-9(전),832-3(전)",신진자전거점 맞은편 주차장,33.424532,126.265236
32,제주특별자치도 제주시 한림읍 한수리 920-14(도),한수리 해안도로변,33.424797,126.263001
33,제주특별자치도 제주시 한림읍 한수리 920-12(잡),허화규댁 앞 무료주차장,33.423989,126.263588
34,제주특별자치도 제주시 한림읍 한수리 845-2,한수리 정류소 옆,33.423744,126.264413
35,제주특별자치도 제주시 한림읍 한수리 879-14,한수관광어촌지원센터 뒤,33.422305,126.262676
36,제주특별자치도 제주시 한림읍 대림리 766-4(창),리사무소앞 저온저장고,33.424838,126.280978
37,제주특별자치도 제주시 한림읍 대림리 1468-1(도),"서동 일주도로변
 소공원",33.426486,126.277492
38,제주특별자치도 제주시 한림읍 대림리 578-7(도),리사무소 옆길 한림3리 입구,33.423644,126.282016
39,제주특별자치도 제주시 한림읍 대림리 676-1,입전동 정자 주변,33.42622,126.285069
40,제주특별자치도 제주시 한림읍 대림리 456-2(도),광이동 입구 공터,33.423333,126.277812
41,제주특별자치도 제주시 한림읍 대림리 1901-10(전),한림순복음교회 앞,33.42192,126.265288
42,제주특별자치도 제주시 한림읍 대림리 2019-13,사동 어린이놀이터(한수중계펌프장 골목),33.420834,126.263591
43,제주특별자치도 제주시 한림읍 대림리 1882-4,한수풀도서관 입구 맞은편,33.42198,126.266984
44,제주특별자치도 제주시 한림읍 대림리 1705-4,오일시장 내,33.421957,126.274619
45,제주특별자치도 제주시 한림읍 대림리 1885,주공아파트,33.421294,126.266174
46,제주특별자치도 제주시 한림읍 대림리 1853-1,미듬아파트,33.420953,126.268311
