,location,address,latitude,longtitude
0,한림2리,제주시 한림읍 한림남길 12,126.268657,33.4094371
1,고내리,제주시 애월읍 고내로 14,126.339179,33.4630722
2,하귀1리,제주시 애월읍 하귀동남3길 16,126.414218,33.483718
3,애월리,제주시 애월읍 애월해안로 7,126.316562,33.4651491
4,곽지리,제주시 애월읍 곽지3길 13,126.305693,33.4482111
5,신엄리,제주시 애월읍 중엄3길 17,126.373051,33.4750503
6,하가리,제주시 애월읍 고하상로 144,126.349811,33.4537791
7,종달리,제주시 구좌읍 종달논길 31-10,126.901763,33.492697
8,하도리,제주시 구좌읍 문주란로 68,126.875076,33.5082252
9,조천리,제주시 조천읍 조천18길 5-5,126.643669,33.5397793
10,와산리,제주시 조천읍 중산간동로 924,126.680367,33.4915636
11,와흘리,제주시 조천읍 와흘4길 33-1,126.633478,33.5055702
12,함덕리,제주시 조천읍 조함해안로 532-3,126.670028,33.5417911
13,신흥리,제주시 조천읍 신흥리 530-13,126.650685,33.548662
14,우도면,제주시 우도면 조일길 123-5,126.960939,33.5107444
15,이도2동,제주시 도남로5길 25 (도남동),126.528667,33.4973707
16,이도2동,제주시 광양9길 65 (이도이동),126.535905,33.5022397
17,이도2동,제주시 독짓골8길 34 (도남동),126.532574,33.4912007
18,이도2동,제주시 신설동길 40-10 (이도이동),126.549697,33.4948616
19,삼도1동,제주시 서광로25길 16 (삼도일동),126.522243,33.5032064
20,용담1동,제주시 서광로5길 26 (용담일동),126.514565,33.5020855
21,용담2동,제주시 용해로 16 (용담삼동),126.50224,33.5157946
22,화북동,제주시 선반로10길 14 (화북일동),126.566419,33.5142425
23,삼양동,제주시 지석10길 18 (삼양이동),126.582666,33.5197351
24,삼양동,제주시 화삼로 47 (도련일동),126.578541,33.5158713
25,아라동,제주시 산천단동길 4 (아라일동),126.556849,33.440828
26,아라동,제주시 인다14길 20 (아라일동),126.547624,33.4713316
27,오라동,제주시 아연로 165 (오라이동),126.508453,33.4716868
28,오라동,제주시 오라로 115(오라일동),126.514917,33.4950365
29,연동,제주시 은남1길 45 (연동),126.490966,33.4890708
30,연동,제주시 귀아랑길 33 (연동),126.499334,33.489673
31,연동,제주시 연동14길 32 (연동),126.494035,33.4831509
32,연동,제주시 신대로16길 22(연동),126.494345,33.4870651
33,노형동,제주시 진군3길 10 (노형동),126.479767,33.4778535
34,노형동,제주시 우평로 10 (노형동),126.480872,33.465876
35,노형동,제주시 원노형9길 3 (노형동),126.483215,33.4860724
36,노형동,제주시 월랑로2길 1(노형동),126.479883,33.4873116
37,노형동,제주시 신비마을1길 6 (해안동),126.480271,33.4458672
38,도두동,제주시 오일장동길 51 (도두일동),126.47436,33.4966106
39,도두동,제주시 도공로 3(도두일동),126.465489,33.5060753
40,마라도,서귀포시 대정읍 마라로 127,126.26781,33.1139314
41,동일1리,서귀포시 대정읍 동일하모로 90,126.2416,33.22864
42,하모3리,서귀포시 대정읍 신영로36번길 69-11,126.247548,33.2205978
43,구억리,서귀포시 대정읍 영어도시로 35-3,126.278568,33.2755545
44,상모2리,서귀포시 대정읍 상모대서로 20번길 61,126.264418,33.2158392
45,신평리,서귀포시 대정읍 신평로 10,126.259499,33.2673999
46,남원리,서귀포시 남원읍 남태해안로 116,126.716322,33.2763288
47,위미3리,서귀포시 남원읍 태위로 377,126.687644,33.2753941
48,신흥1리,서귀포시 남원읍 신흥로 32-5,126.76896,33.3050921
49,태흥2리,서귀포시 남원읍 남태해안로 489,126.749431,33.285642
50,온평리,서귀포시 성산읍 온평포구로62번길 13,126.902835,33.4013652
51,성산리,서귀포시 성산읍 성산등용로 65,126.928987,33.4678047
52,삼달리,서귀포시 성산읍 삼달로 249,126.84493,33.3761776
53,고성리,서귀포시 성산읍 고성오조로 40,126.915604,33.4470051
54,신풍리,서귀포시 성산읍 신풍상동로 4,126.83533,33.3613876
55,신천리,서귀포시 성산읍 신천동로 26,126.85577,33.3457522
56,화순리,서귀포시 안덕면 화순로 154-42,126.330091,33.2501026
57,감산리,서귀포시 안덕면 일주서로 1521,126.353928,33.2582533
58,사계리,서귀포시 안덕면 사계중앙로3번길 14,126.299192,33.2307096
59,표선리,서귀포시 표선면 표선동서로 203-3,126.830313,33.3223497
60,성읍 新문화마을,서귀포시 표선면 서성일로27번길 16-7,126.799269,33.3951086
61,성읍 문화마을,서귀포시 표선면 서성일로10번길 9-6,126.801949,33.3931474
62,세화1리,서귀포시 표선면 세화강왓로 104,126.798229,33.3152055
63,세화2리,서귀포시 표선면 가마병풍로 29,126.803967,33.3087231
64,정방동,서귀포시 중앙로4번길 3,126.562532,33.2450994
65,중앙동,서귀포시 중앙로62번길 20(서귀동),126.563686,33.2501977
66,천지동,서귀포시 서문로 14(서귀동),126.559687,33.2517163
67,효돈동,서귀포시 월라봉로34번길37(신효동),126.609477,33.2664264
68,동홍동,서귀포시 동홍중앙로 99(동홍동),126.56738,33.2627612
69,서홍동,서귀포시 홍중로 28(서홍동),126.558392,33.2552821
70,호근,서귀포시 호근로26번길 10(호근동),126.526913,33.2540479
71,새서귀포,서귀포시 신서귀로 87(법환동),126.510029,33.256597
72,법환마을,서귀포시 법환로 87,126.507588,33.2403492
73,대천동 (신시가지),서귀포시 신서로 39(강정동),126.504315,33.2537162
74,강정마을,서귀포시 강정통물로 125-12(강정동),126.476434,33.2377511
75,용흥마을,서귀포시 용흥로38번길 59-6,126.484356,33.257106
76,중문동,서귀포시 중문상로17번길 3(중문동),126.424049,33.2500604
77,색달마을,서귀포시 색달로72번길 8,126.410683,33.2605105
